timestamp,hour,day_of_week,event_type,severity
2025-10-02 08:00:00,8,3,Weather,Low
2025-11-04 15:00:00,15,1,Weather,Low
2025-07-30 12:00:00,12,2,Traffic,Low
2025-04-13 12:00:00,12,6,Fire,Medium
2025-02-14 16:00:00,16,4,Weather,Low
2025-07-09 21:00:00,21,2,Protest,Low
2025-06-29 10:00:00,10,6,Weather,Low
2025-02-28 22:00:00,22,4,Accident,Medium
2025-06-11 12:00:00,12,2,Weather,Medium
2025-08-09 21:00:00,21,5,Protest,Medium
2025-07-11 07:00:00,7,4,Traffic,Medium
2025-04-17 05:00:00,5,3,Accident,High
2025-05-12 14:00:00,14,0,Traffic,Low
2025-04-14 12:00:00,12,0,Accident,Medium
2025-09-15 19:00:00,19,0,Weather,Critical
2025-03-25 06:00:00,6,1,Fire,Low
2025-06-13 07:00:00,7,4,Accident,Low
2025-11-16 14:00:00,14,6,Fire,Medium
2025-02-15 20:00:00,20,5,Protest,Low
2025-01-25 10:00:00,10,5,Protest,Low
2025-03-30 06:00:00,6,6,Fire,Medium
2025-10-17 13:00:00,13,4,Fire,Critical
2025-03-17 00:00:00,0,0,Traffic,Medium
2025-12-16 11:00:00,11,1,Protest,Low
2025-10-27 05:00:00,5,0,Protest,Low
2025-10-29 23:00:00,23,2,Protest,Low
2025-10-18 15:00:00,15,5,Traffic,Low
2025-10-23 02:00:00,2,3,Traffic,Low
2025-11-15 17:00:00,17,5,Accident,High
2025-12-07 17:00:00,17,6,Fire,Critical
2025-05-04 05:00:00,5,6,Traffic,Medium
2025-08-11 14:00:00,14,0,Fire,Critical
2025-03-14 10:00:00,10,4,Accident,Medium
2025-07-06 03:00:00,3,6,Traffic,Low
2025-08-07 11:00:00,11,3,Accident,Medium
2025-10-04 06:00:00,6,5,Traffic,Medium
2025-01-14 16:00:00,16,1,Accident,Medium
2025-02-19 00:00:00,0,2,Accident,Medium
2025-03-20 20:00:00,20,3,Weather,Low
2025-03-22 10:00:00,10,5,Protest,Medium
2025-06-18 10:00:00,10,2,Protest,Critical
2025-04-25 11:00:00,11,4,Traffic,Low
2025-02-18 13:00:00,13,1,Fire,Medium
2025-03-19 20:00:00,20,2,Protest,Critical
2025-06-07 09:00:00,9,5,Fire,Medium
2025-02-05 09:00:00,9,2,Weather,Low
2025-07-16 19:00:00,19,2,Protest,High
2025-06-08 09:00:00,9,6,Accident,High
2025-09-13 15:00:00,15,5,Accident,Medium
2025-08-02 04:00:00,4,5,Protest,High
2025-05-12 12:00:00,12,0,Accident,Medium
2025-03-27 08:00:00,8,3,Accident,Critical
2025-12-28 14:00:00,14,6,Traffic,Medium
2025-10-17 14:00:00,14,4,Weather,Low
2025-08-19 09:00:00,9,1,Fire,High
2025-09-15 07:00:00,7,0,Fire,Medium
2025-03-05 05:00:00,5,2,Fire,Medium
2025-03-20 23:00:00,23,3,Protest,Critical
2025-01-15 07:00:00,7,2,Weather,Low
2025-11-13 04:00:00,4,3,Weather,Low
2025-03-08 06:00:00,6,5,Weather,Low
2025-01-24 12:00:00,12,4,Weather,Low
2025-04-04 20:00:00,20,4,Weather,Low
2025-02-15 06:00:00,6,5,Weather,Low
2025-05-20 10:00:00,10,1,Fire,Low
2025-07-10 00:00:00,0,3,Fire,Critical
2025-12-26 11:00:00,11,4,Weather,Low
2025-01-25 01:00:00,1,5,Accident,Medium
2025-06-02 12:00:00,12,0,Fire,Low
2025-05-25 19:00:00,19,6,Traffic,Low
2025-10-24 15:00:00,15,4,Accident,Medium
2025-06-02 13:00:00,13,0,Accident,High
2025-03-19 05:00:00,5,2,Accident,Critical
2025-05-26 18:00:00,18,0,Protest,Critical
